/usr/lib/python3.10/runpy.py:126: RuntimeWarning: 'extraction.extraction_engine' found in sys.modules after import of package 'extraction', but prior to execution of 'extraction.extraction_engine'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
2025-12-06 02:00:33,610 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,611 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,611 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,612 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,613 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,613 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,615 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,616 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,616 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,617 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 0 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 1 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 2 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 3 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 4 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 5 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 6 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 7 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 8 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 9 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 10 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 11 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 12 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 13 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,619 - extraction.graffiti_client - ERROR - Chunk 14 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 15 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 16 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 17 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 18 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 19 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 20 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 21 failed: [Errno -2] Name or service not known
