system,P@1,R@5,NDCG@5,MRR,MAP,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore-F1,Latency-mean-s,Latency-p95-s
VR-D (Dense),0.35,0.825,0.6049903993657137,0.5458333333333333,0.5208333333333333,0.2838653734264626,0.08310182919199517,0.19692383758647933,0.021272970372993208,0.8660691976547241,14.22540249824524,21.738676691055304
VR-H (Hybrid),0.3,0.725,0.5329087830157838,0.4791666666666667,0.4583333333333333,0.31770916177464203,0.09692694607172764,0.2182183502590936,0.046514072098055595,0.0,12.878917491436004,16.68790954351425
GR (Graph),0.35,0.8,0.5953164571005088,0.5333333333333333,0.5183333333333333,0.3159169760340218,0.07808023904141188,0.2060532642518972,0.021769942839263222,0.8692564964294434,15.423065376281738,27.09821141958237
HGR (Hybrid+Graph),0.45,0.85,0.665281540814747,0.6266666666666667,0.6091666666666666,0.3457333747108784,0.10008156511708746,0.23295971496568293,0.034080785211973566,0.875389575958252,14.797827219963073,21.410876405239115
